短评内容,头像,星级评分数,j,用户连接,用户名,是否看过,评论时间
我觉得这个综艺最大的受益者是观众。建议每个被爱情困扰的男女都来看看。这样才能从旁观者的角度清晰的感受到对方不爱自己的表现有多么显而易见。,https://img1.doubanio.com/icon/u189404004-109.jpg,2634,,https://www.douban.com/people/189404004/,中蓝二敛,看过,"
                    2021-07-29 01:29:30
                "
这节目告诉大家，不要跟前任尝试复合，因为你可能再被伤一次,https://img1.doubanio.com/icon/u48910315-18.jpg,1255,,https://www.douban.com/people/48910315/,luna,看过,"
                    2021-07-28 18:29:34
                "
看了几集突然觉得这六个人都活得太奢侈了——平均年龄40+了，似乎完全没有经济之虞，几乎不谈育儿之苦，还能坐下来谈且只谈感情，都还在谈着30岁之前的话题（尽管谈得一定比小年轻要深入许多），重要的是还拥有在感情里追根究底的力气……这一切太第一世界了，太典型而普遍“新中产”了，根本不是中国真实啊。格外是郭柯宇（前）夫妇，他们聊天的状态让人觉得他们在演美国独立电影，凯特温斯莱特演她，连疲惫都那么精致。,https://img2.doubanio.com/icon/u49422504-21.jpg,2695,,https://www.douban.com/people/bixiongzz/,迷宝,看过,"
                    2021-07-31 21:56:27
                "
看了两集就能猜到，中国男女婚姻的现状：中国女人已经走进新时代，中国男性还活在对旧式婚姻的古老期待里。???♂????♂?,https://img9.doubanio.com/icon/u2206654-145.jpg,2104,,https://www.douban.com/people/JoyceX/,Ziyue,看过,"
                    2021-08-31 04:35:30
                "
看完四集《再见爱人》，最大的感受就是男人真的太“庞大”了。他们的支配意志是庞大的，生殖欲望是庞大的，感情中的不甘心也是庞大的......一切的一切都是那么庞大。而女人呢，她们被压得踹不过来气，忧虑、恐惧、无法清醒，只能在惯性中靠着类似针灸的方式给自己暂时透透气。,https://img2.doubanio.com/icon/u197845912-3.jpg,1734,,https://www.douban.com/people/197845912/,赵皖西,看过,"
                    2021-08-19 00:15:27
                "
郭柯宇和章贺像小说里互虐的男女主。,https://img2.doubanio.com/icon/u183681821-3.jpg,1698,,https://www.douban.com/people/183681821/,也河,看过,"
                    2021-08-04 22:31:37
                "
看到第二期嘉宾在桥上大喊“感谢你陪我度过的十年，希望你以后活出你喜欢的样子”忽然泪目了,https://img1.doubanio.com/icon/user_normal.jpg,1235,,https://www.douban.com/people/176007741/,楠楠?,看过,"
                    2021-08-04 15:46:35
                "
"建议民政局结婚登记处和离婚登记处24小时循环播放这部综艺，并让来登记的人认真观看并记笔记。
",https://img1.doubanio.com/icon/u163491426-8.jpg,755,,https://www.douban.com/people/163491426/,香辣藕片,看过,"
                    2021-09-01 23:44:55
                "
这真是一场现实加长版、微观版的《婚姻故事》。作为观众，当然是感到反讽效果拉满，结局早已写在剧目开始之前，但还是忍不住一次又一次地叹息和哭泣。,https://img9.doubanio.com/icon/u146352496-6.jpg,692,,https://www.douban.com/people/146352496/,SuviLau,看过,"
                    2021-07-28 15:11:58
                "
1.感情是很主观的东西，外人认为甜到不行的情侣可能他们自己觉得各自孤单，很难说什么是爱什么不是爱   2.关系里的双方里往往很难分辨对错，关系搞砸往往大家都有问题或者真的不合适。3.人是复杂的流动的，一个人可以深情到流泪也可以冷漠到忽视你的存在，很难用一个好或渣的标签去定义,https://img2.doubanio.com/icon/u58709070-2.jpg,638,,https://www.douban.com/people/58709070/,inuyasha,看过,"
                    2021-07-29 16:34:40
                "
