term,freq
综艺,2944
婚姻,2549
好,2317
爱,2313
节目,2203
真实,1697
爱情,1513
郭柯宇,1320
喜欢,1284
嘉宾,1273
哭,1077
希望,991
老王,985
离婚,973
感情,922
生活,852
情感,839
好看,790
章贺,757
爱人,735
感觉,673
亲密关系,645
再见,623
关系,609
对方,581
相处,561
佟晨洁,545
老师,533
理解,528
郭,511
剧本,510
节目组,510
结婚,502
夫妻,484
幸福,475
别人,474
思考,473
好好,449
真诚,438
感动,416
朱雅琼,405
沟通,403
感受,402
自我,398
一对,396
真人秀,385
勇敢,382
值得,380
情绪,375
反思,374
结局,371
拥抱,361
人生,360
不错,359
相爱,357
看过,352
身上,345
学习,343
芒果,339
用心,339
期待,337
选择,334
表达,327
新疆,319
永远,317
之间,317
男人,314
女性,313
矛盾,298
美好,295
样子,292
郭柯,292
方式,289
故事,287
真,287
成长,282
贺,282
最佳,281
更好,280
一期,279
想要,276
面对,273
现实,273
分开,273
观众,265
感谢,265
改变,263
观察,262
清醒,261
哭泣,260
三对,259
学到,258
男,258
发现,257
追,249
下车,249
呜呜,249
一点,246
勇气,243
年度,243
秋雨,240
走,237
确实,234
只,234
暴风,230
孩子,228
姐姐,228
好像,225
恋爱,222
未来,220
王,219
意义,219
十年,216
找到,214
能力,212
眼泪,211
收获,209
懂,208
一部,208
大,208
影子,206
内心,206
适合,205
世界,205
经历,205
章,203
佟,203
学会,203
终于,201
过程,198
推荐,197
性格,197
三,197
时间,196
温柔,196
也许,195
出,195
时,192
人间,191
没想到,190
完美,188
自由,188
状态,187
珍惜,187
章鱼,186
前,185
浪漫,183
问,182
遗憾,181
太,181
拥有,181
事情,180
伤害,180
明白,179
家庭,179
女人,177
合适,177
答案,173
国内,173
地方,172
难得,172
第二季,171
真情实感,171
朋友,170
难,170
爱爱,169
观察室,168
点,168
拍,168
不想,167
细腻,167
结束,164
讨论,163
电影,163
旅行,163
恐婚,162
美,162
小,161
郭姐,161
伴侣,160
呈现,160
剪辑,160
温暖,158
五星,158
听,157
文案,156
才能,155
很棒,155
解决,155
新,154
男性,153
综艺节目,151
祝福,150
动人,150
很难,149
这部,149
展现,148
理性,147
年,145
模式,144
雅琼,143
包容,142
一档,141
感触,141
可爱,141
女,140
大概,140
来说,140
三个,140
nan,139
实在,139
或许,139
看着,137
夫妇,137
制作,137
深刻,136
肯定,135
有时候,135
镜头,133
经营,133
好多,133
身边,133
天花板,132
只能,132
那种,132
力量,132
人类,130
付出,129
请,129
蛮,129
本来,128
这是,128
死,128
话,127
分析,126
想法,126
观点,126
人性,126
类,125
社会,125
太好了,125
变得,125
告别,124
依然,124
视角,123
一句,123
中国,123
找,123
价值,123
婚姻生活,123
第一次,122
接受,122
成熟,121
一生,120
简直,120
带来,120
痛苦,119
启发,119
讨厌,119
慢慢,119
感性,117
最终,117
事,116
爱过,116
小朱,115
心疼,115
到底,115
窒息,114
审视,114
胡彦斌,114
太好,114
输出,113
原因,112
期,112
快乐,112
磕,112
第一期,112
复合,111
不行,111
探讨,110
内容,110
开心,110
有人,110
相悖,110
看,110
治愈,110
是因为,110
独立,109
教育,108
深度,108
反而,108
离开,108
电视剧,108
得,108
竟然,108
谢谢,108
打动,108
女生,108
简单,107
优秀,106
努力,106
郭姐姐,106
角度,106
高估,105
感慨,105
和解,104
写,104
心,104
大结局,104
一场,103
本身,103
导演,103
程度,103
上头,102
观察团,102
台,102
两人,102
缺点,102
细节,102
懂得,102
画面,102
爱是,102
真心,102
单身,101
越来越,100
题材,100
心动,99
健康,99
配乐,98
表现,98
瞬间,97
共情,97
婚姻关系,97
沈老师,97
居然,96
就算,96
笑,96
可怕,96
需求,96
第一集,94
不到,94
编剧,94
感,94
面前,94
有意思,94
多么,93
坦诚,93
人物,92
典型,92
总,92
想象,91
带,91
跟着,90
有没有,90
明明,89
想到,89
体面,89
所有人,89
后期,89
分,89
唯一,89
男女,88
一季,88
环节,88
机会,88
痕迹,88
愿,88
风景,87
郭章,87
形式,87
观看,87
不再,86
几期,86
每次,86
